Temperature (K)	Pressure (bar)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
330.00	19.828	434.86	0.0022996	353.50	358.05	1.5134	1.8151	3.2484	497.40	0.060152	67.744	0.079717	liquid	liquid, T = 330 K
330.00	20.000	434.98	0.0022989	353.42	358.02	1.5132	1.8149	3.2459	498.03	0.059863	67.795	0.079746	liquid	liquid, T = 330 K
330.00	25.000	438.43	0.0022809	351.42	357.12	1.5070	1.8109	3.1796	515.60	0.052160	69.219	0.080573	liquid	liquid, T = 330 K
330.00	30.000	441.61	0.0022645	349.56	356.35	1.5012	1.8076	3.1243	531.82	0.045624	70.564	0.081357	liquid	liquid, T = 330 K
330.00	35.000	444.56	0.0022494	347.82	355.69	1.4958	1.8049	3.0772	546.94	0.039981	71.843	0.082104	liquid	liquid, T = 330 K
330.00	40.000	447.32	0.0022356	346.18	355.12	1.4907	1.8026	3.0365	561.14	0.035041	73.067	0.082821	liquid	liquid, T = 330 K
														
380.00	5.0000	7.2506	0.13792	706.83	775.79	2.9807	1.8594	2.0820	272.48	0.85847	10.338	0.028619	vapor	vapor, T = 380 K
380.00	10.000	15.123	0.066124	700.40	766.53	2.8328	1.8757	2.1421	263.42	0.89756	10.439	0.029129	vapor	vapor, T = 380 K
380.00	15.000	23.767	0.042075	693.40	756.51	2.7374	1.8943	2.2184	253.74	0.94245	10.584	0.029742	vapor	vapor, T = 380 K
380.00	20.000	33.400	0.029940	685.66	745.54	2.6619	1.9155	2.3187	243.31	0.99445	10.785	0.030499	vapor	vapor, T = 380 K
380.00	25.000	44.353	0.022546	676.97	733.33	2.5956	1.9403	2.4572	231.95	1.0553	11.063	0.031470	vapor	vapor, T = 380 K
380.00	30.000	57.171	0.017491	666.94	719.42	2.5328	1.9704	2.6620	219.46	1.1270	11.452	0.032779	vapor	vapor, T = 380 K
380.00	35.000	72.857	0.013725	654.92	702.96	2.4691	2.0087	2.9990	205.51	1.2116	12.020	0.034689	vapor	vapor, T = 380 K
380.00	40.000	93.600	0.010684	639.51	682.24	2.3985	2.0623	3.6643	189.63	1.3075	12.922	0.037850	vapor	vapor, T = 380 K
														
430.00	5.0000	6.3239	0.15813	805.91	884.97	3.2504	2.0739	2.2854	291.45	0.59772	11.624	0.035740	vapor	vapor, T = 430 K
430.00	10.000	12.986	0.077005	801.00	878.01	3.1082	2.0824	2.3207	285.32	0.61180	11.735	0.036310	vapor	vapor, T = 430 K
430.00	15.000	20.028	0.049930	795.87	870.76	3.0197	2.0915	2.3611	279.07	0.62665	11.873	0.036910	vapor	vapor, T = 430 K
430.00	20.000	27.499	0.036365	790.47	863.20	2.9526	2.1012	2.4078	272.70	0.64218	12.043	0.037548	vapor	vapor, T = 430 K
430.00	25.000	35.458	0.028202	784.78	855.29	2.8971	2.1116	2.4621	266.22	0.65822	12.248	0.038234	vapor	vapor, T = 430 K
430.00	30.000	43.977	0.022739	778.76	846.98	2.8483	2.1228	2.5259	259.65	0.67449	12.496	0.038982	vapor	vapor, T = 430 K
430.00	35.000	53.139	0.018819	772.37	838.23	2.8039	2.1346	2.6014	253.04	0.69056	12.794	0.039807	vapor	vapor, T = 430 K
430.00	40.000	63.047	0.015861	765.56	829.00	2.7624	2.1471	2.6913	246.44	0.70575	13.152	0.040731	vapor	vapor, T = 430 K
