Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
340.00	40.000	9.6527	0.10360	16.630	17.045	69.867	81.730	143.94	486.49	0.064000	64.333	0.078480	liquid	liquid, T = 340 K
														
370.00	5.0000	0.16949	5.9002	30.350	33.300	129.01	80.084	90.045	268.42	0.93099	10.075	0.027280	vapor	vapor, T = 370 K
370.00	10.000	0.35513	2.8159	30.047	32.863	122.41	80.914	93.052	258.55	0.97946	10.173	0.027779	vapor	vapor, T = 370 K
370.00	15.000	0.56144	1.7811	29.713	32.385	118.11	81.872	96.997	247.85	1.0366	10.321	0.028407	vapor	vapor, T = 370 K
370.00	20.000	0.79539	1.2573	29.338	31.852	114.65	83.001	102.44	236.09	1.1052	10.534	0.029224	vapor	vapor, T = 370 K
370.00	25.000	1.0686	0.93579	28.904	31.244	111.54	84.389	110.55	222.96	1.1894	10.842	0.030343	vapor	vapor, T = 370 K
370.00	30.000	1.4031	0.71269	28.381	30.519	108.47	86.219	124.18	207.90	1.2959	11.303	0.032014	vapor	vapor, T = 370 K
370.00	35.000	1.8507	0.54035	27.697	29.588	105.12	88.995	153.05	189.89	1.4345	12.060	0.034939	vapor	vapor, T = 370 K
370.00	40.000	2.6119	0.38286	26.580	28.111	100.50	95.014	270.09	165.74	1.6060	13.730	0.042820	vapor	vapor, T = 370 K
